127.0.0.1, 2018-10-27 23:18:23, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:18:23, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:18:57, GET, /admin/default/index, HTTP/1.1, 303, 0.013000
127.0.0.1, 2018-10-27 23:18:57, GET, /admin/default/site, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-10-27 23:18:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:18:58, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-10-27 23:18:58, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-27 23:18:58, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:18:58, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:18:58, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-27 23:21:54, GET, /, HTTP/1.1, 303, 0.831000
127.0.0.1, 2018-10-27 23:21:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.134000
127.0.0.1, 2018-10-27 23:21:55, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-27 23:21:59, GET, /admin/default/index, HTTP/1.1, 303, 0.118000
127.0.0.1, 2018-10-27 23:21:59, GET, /admin/default/site, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-10-27 23:22:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:22:01, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.071000
127.0.0.1, 2018-10-27 23:22:02, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:22:02, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-27 23:22:02, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:22:02, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:22:45, GET, /admin/default/index, HTTP/1.1, 303, 0.012000
127.0.0.1, 2018-10-27 23:22:45, GET, /admin/default/site, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-10-27 23:22:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:22:47, GET, /TutorPlus/default/index, HTTP/1.1, 500, 0.326000
127.0.0.1, 2018-10-27 23:22:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:22:49, GET, /admin/default/ticket/TutorPlus/127.0.0.1.2018-10-27.23-22-47.a0eb01a8-1bbd-4f79-adc6-12b3dfd648ec, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-10-27 23:22:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:23:16, GET, /admin/default/ticket/TutorPlus/127.0.0.1.2018-10-27.23-22-47.a0eb01a8-1bbd-4f79-adc6-12b3dfd648ec, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-10-27 23:23:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:23:26, GET, /, HTTP/1.1, 303, 0.828000
127.0.0.1, 2018-10-27 23:23:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.174000
127.0.0.1, 2018-10-27 23:23:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-27 23:23:28, GET, /admin/default/index, HTTP/1.1, 303, 0.122000
127.0.0.1, 2018-10-27 23:23:29, GET, /admin/default/site, HTTP/1.1, 200, 0.063000
127.0.0.1, 2018-10-27 23:23:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-27 23:23:31, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.311000
127.0.0.1, 2018-10-27 23:23:31, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:23:31, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
.003000
127.0.0.1, 2018-10-27 23:23:31, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:23:34, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2018-10-27 23:23:34, GET, /admin/default/site, HTTP/1.1, 200, 0.056000
127.0.0.1, 2018-10-27 23:23:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
